subject,Particular Scenario No#,answer,explanation,version,embed_level,question_id,category: Lily (2+3),Zach (3+4),Yuchen (4+1),Mira (1+2),code
3,24,sarcastic,I think Elizabeth would get the impression May didn't want to talk about it.,0,a,8a,,,I,R,I
4,25,sincere,it was over text and oliva provided no current context on her feelings regarding the haircut,2,a,1a,,,R,D,D
4,26,sincere,nothing was said to imply sarcasm,2,b,2b,,,O,D,D
4,27,sincere,"he wouldn't know that he messed up, so he would think she was sincere",2,b,3b,,,R,R,R
4,28,sincere,maybe sarcastic? but probably sincere since she didn't indicate sarcasm,2,c,4c,,,O,D,O
4,29,sincere,because he was polite during the interview,2,a,5a,,,I,O,O
4,30,sarcastic,"he saw the fight, so he would know it was sarcastic",2,b,6b,,,R,R,R
4,31,sincere,because she still contacts him regularly,2,c,7c,,,S,S,S
4,32,sincere,elizabeth would not have known it was sarcastic,2,c,8c,,,O,R,R
5,33,sincere,Olivia isn't to know that Alice is trying to branch out on her own so won't know the subtext to know that it's a sarcastic comment. She just thinks her friend is being supportive and loves it,0,c,1c,,,R,R,R
5,34,sincere,While it's a metaphor and an exaggeration it still seems sincere. Although maybe to her partner who knows how much she's been struggling it may come off as sarcastic - this is a real 50/50 one,0,a,2a,,,I,R,R
5,35,sincere,Since he hasn't realised that he's confused the white powders so he doesn't know that the cake is actually disgusting despite the message being sarcastic,0,c,3c,,,R,R,R
5,36,sarcastic,Julia is just being friendly and sharing a picture of her dog and it's a new working relationship so probably thinks she's being tongue-in-cheek,0,a,4a,,,R,R,R
5,37,sarcastic,Having it written in a reply from someone you don't know well at all seems like it could come off as sarcastic,0,b,5b,,,I,R,R
5,38,sarcastic,The only thing David knows of their relationship is that Jeremy and Spencer have heated arguments and are brothers... the next thing he has a letter saying that he's the best brother ever. If David has a sibling of his own then maybe he'll understand that sibling relationships are up and down so think this to be sincere but not sure with the limited information,0,c,6c,,,R,R,R
5,39,sarcastic,The last thing Ken knows about their relationship from Ana is that they had a very dramatic fight and broke up. If they don't know of their maintained friendship then they're bound to think that they really hate each other,0,b,7b,,,R,R,R
5,40,sincere,Her trip seemed nice despite the crush and sad news about Kate on her part so it's a sincere message,0,a,8a,,,O,S,S
6,41,sarcastic,She doesn't want her to have the same hairstyle,0,c,1c,,,S,S,S
6,42,sincere,She is happy after hitting a PR,0,a,2a,,,S,S,S
6,43,sincere,She is being nice because she doesn't want to hurt his feelings,0,c,3c,,,S,R,S
6,44,sarcastic,Because people are ignorant to phobias,0,a,4a,,,I,O,O
6,45,sarcastic,Was probably being bitchy,0,b,5b,,,I,O,O
6,46,sarcastic,Because they have just fought,0,c,6c,,,S,R,R
6,47,sincere,She considers him a good friend,0,b,7b,,,S,S,S
6,48,sincere,"She had a good time, but is still trying to process her emotions ",0,a,8a,,,S,S,S
7,49,sincere,no reason to doubt her,1,b,1b,,,O,O,O
7,50,sincere,she seems pumped up,1,c,2c,,,O,S,S
7,51,sincere,they've known eachother a long time,1,a,3a,,,O,O,O
7,52,sarcastic,everyone else thinks it's cute and it's small,1,b,4b,,,O,R,R
7,53,sarcastic,bad first impression with the scoffing,1,c,5c,,,S,I,R
7,54,sincere,no reason to doubt him,1,a,6a,,,O,O,O
7,55,sincere,why would she not be sincere if she wanted to,1,a,7a,,,O,S,O
7,56,sincere,they'd bonded and gotten along well,1,b,8b,,,O,S,S
8,57,sincere,Shes not being sarcastic shes just trying to be polite,1,b,1b,,,O,S,S
8,58,sincere,Shes been trying to get better in the gym so it makes sense,1,c,2c,,,O,S,S
8,59,sincere,if he doesnt know that he made mistakes he will think its sincere,1,a,3a,,,R,R,R
8,60,sincere,Theres no indication that its a joke or sarcasm,1,b,4b,,,O,D,O
8,61,sarcastic,If eric knows about the feud then he will realise its sarcastic,1,c,5c,,,R,I,R
8,62,sincere,He might think jeremy isnt angry about the fight anymore,1,a,6a,,,I,I,I
8,63,sarcastic,he might think its sarcastic because he knows they had a bad breakuo,1,a,7a,,,R,R,R
8,64,sincere,She wouldnt be able to see her face or hear her tone so it would seem genuine,1,b,8b,,,D,D,D
9,65,sincere,Her white lie is to prevent upset and is not sarcastic.,0,c,1c,,,S,S,S
9,66,sincere,Humour is not sarcasm.,0,a,2a,,,O,O,O
9,67,sincere,Making the cake was kind even if it tastes bad.,0,c,3c,,,O,O,O
9,68,sincere,Some people are just sacred of dogs!,0,a,4a,,,O,O,O
9,69,sincere,Eric has no reason to assume malice.,0,b,5b,,,R,R,R
9,70,sarcastic,"David has seen a fight, and doesn't know the brother's historic good relationship.",0,c,6c,,,R,R,R
9,71,sincere,Ken has no reason to believe Ana thinks James is unpleasant.,0,b,7b,,,R,R,R
9,72,sincere,Elizabeth has no context to think otherwise.,0,a,8a,,,R,R,R
10,73,sarcastic,"she is annoyed, but replies ""I llove it""",1,b,1b,,,S,S,S
10,74,sincere,"she was in a good mood, she felt like she could do anything",1,c,2c,,,S,S,S
10,75,sincere,"she's trying to make him feel good, even though he did werong",1,a,3a,,,S,S,S
10,76,sincere,she doesnt like it end of,1,b,4b,,,N,S,N
10,77,sarcastic,clearly didn't like it but its not Eric's fault,1,c,5c,,,S,S,S
10,78,sincere,"they enjoy each others company, but get into fights, this doenst mean the dont like each ther",1,a,6a,,,O,S,S
10,79,sincere,they clearly have mutual respect for weach other,1,a,7a,,,O,S,S
10,80,sincere,she didn;t want to hurt her fellings,1,b,8b,,,S,S,S
11,81,sincere,Even though she is annoyed its her best friend so she would probably still be being sincere even though shes not happy as to not upset her friend,1,b,1b,,,I,S,S
11,82,sincere,Theres nothing here that could be sarcastic,1,c,2c,,,O,O,O
11,83,sincere,Even though the cake wasn't good she doesn't want to hurt his feelings so is being sincere but lying,1,a,3a,,,S,S,S
11,84,sincere,she's scared of dogs so is being truthful,1,b,4b,,,S,S,S
11,85,sincere,He wouldn't know that Phillip didn't like his jacket so would think he was being sincere,1,c,5c,,,R,R,R
11,86,sincere,The brothers have a good relationship otherwise so would probably think he was being sincere,1,a,6a,,,S,I,S
11,87,sincere,Just because their relationship ended in a fight does not mean either one is a bad person and I think ken would know that and think she was being sincere,1,a,7a,,,I,I,I
11,88,sincere,There's nothing there to suggest she was being sarcastic,1,b,8b,,,O,R,O
12,89,sincere,As her best friend she wouldn't think her friend would be insincere with her,1,b,1b,,,I,R,R
12,90,sarcastic,As Jane wouldn't have believed Catherine able to lift a cow she wouldn' have taken this as a sincere message,1,c,2c,,,R,R,R
12,91,sincere,She wouldn't have wanted to hurt her friends feeling so has worded it in  way that seems sincere,1,a,3a,,,S,S,S
12,92,sarcastic,"She may have believed that because everyone lse thinks her dog is cute, that MArgaret was being funny ",1,b,4b,,,R,R,R
12,93,sarcastic,When someone sscoffs at you in an interview you don't necessarily believe they have a good opinion about something.,1,c,5c,,,R,I,I
12,94,sarcastic,David had just witnessed him fall out wth his brother - potentially doesn't think that he is being sincere after witnessing that,1,a,6a,,,R,R,R
12,95,sarcastic,"If its common knowledge that they had a big bust up and Ken hasn't spoken with her since, he may believe she is being sarcastic in her reply ",1,a,7a,,,R,R,R
12,96,sincere,Would have no reason to believe otherwise as she wasn't on the trip and didn't understand the relationship.,1,b,8b,,,R,R,R
13,97,sarcastic,Due to Alice feeling like Olivia has copied her style,0,c,1c,,,S,S,S
13,98,sincere,As Catherine is feeling proud and excited,0,a,2a,,,S,S,S
13,99,sincere,As Anastasia and Jack are best friends and she wouldn't want to hurt him,0,c,3c,,,S,S,S
13,100,sincere,As Margaret does not like dogs particularly bulldogs it is likely that she would view the dog in this way,0,a,4a,,,S,S,S
13,101,sincere,As Eric is unaware of the previous conversation and that it would be unprofessional for Phillip to mean it any other way,0,b,5b,,,R,R,R
13,102,sarcastic,As David had witnessed the previous poor behaviour,0,c,6c,,,R,R,R
13,103,sarcastic,As Ken is unaware of the ongoing friendship between Ana and James and only knows about the break up,0,b,7b,,,R,R,R
13,104,sincere,Elizabeth doesn't know about Mays feelings,0,a,8a,,,R,R,R
14,105,sincere,I would expect a good friend to not be critical of the new hairstyle.,1,b,1b,,,I,O,O
14,106,sincere,If Jane is aware of her injury she would know Catherine would be pleased to regain her fitness.,1,c,2c,,,I,R,I
14,107,sincere,"If Jack did not realize his error, he would not have context to assume Anastasia was being sarcastic.",1,a,3a,,,R,R,R
14,108,sarcastic,Julia would not be aware of Margaret's aversion to dogs.,1,b,4b,,,R,R,R
14,109,sincere,Eric would not have known the backstory behind Philip's loathing of his jacket.,1,c,5c,,,R,R,R
14,110,sarcastic,David would have witnessed the fight and would expect the brothers to always be fighting.,1,a,6a,,,R,R,R
14,111,sarcastic,"Given the circumstances of James and Ana's breakup, he would most likely believe she was being disingenuous.",1,a,7a,,,R,R,R
14,112,sincere,"Elizabeth would not know the inner turmoil the trip had brewed in May, so she would probably take the comment at face value.",1,b,8b,,,R,R,R
15,113,sincere,"she has been given no reason to believe alice would be being sarcastic, there are no emojis to show sarcasm",2,a,1a,,,D,D,D
15,114,sincere,she has used an analogy but there is no sarcasm,2,b,2b,,,O,D,D
15,115,sincere,"there is no sarcasm in her tone, she is either saying it is perfect because he made it and thats the way he is or to save hurting his feelings",2,b,3b,,,S,D,D
15,116,sincere,she has a fear so she means what she is saying,2,c,4c,,,S,S,S
15,117,sincere,"why would he think otherwise, there was no indication of his dislike when they met ",2,a,5a,,,R,O,R
15,118,sarcastic,since they do not know each other well he may believe that jeremy hates spencer and thus believe this is sarcasm,2,b,6b,,,R,R,R
15,119,sarcastic,most people do not remain frieds after a break up so this could easily be construed as sarcasm,2,c,7c,,,R,O,R
15,120,sincere,i she did not know about may's change of heart so this would be the sort of answer she wuld expect following a nice trip,2,c,8c,,,R,R,R
16,121,sincere,"They're lifelong friends. So Olivia is, reasonably, going to interpret the text as sincere. ",1,b,1b,,,I,R,R
16,122,sincere,There's no need for Catherine to respond sarcastically. She sincerely feels like she could have done more - this is her way of stating that.,1,c,2c,,,I,S,S
16,123,sincere,They're best friends. Anastasia wouldn't want to hurt her friend's feelings. Jack would take this comment at face value.,1,a,3a,,,I,R,R
16,124,sarcastic,"Julia probably doesn't know that Margaret is terrified of bulldogs. so, she's going to interpret this as sarcastic since the majority of people have said it was cute. ",1,b,4b,,,R,R,R
16,125,sincere,"Eric (probably) wouldn't have the background to realize that there was a conflict between the magazine and the maker of the jacket, so he's going to interpret it as sincere. ",1,c,5c,,,R,R,R
16,126,sarcastic,"David only has limited experience with Jeremy and Spencer's relationship, so he'd base his belief on that one incident. Thus he's going to see this as sarcastic. ",1,a,6a,,,R,R,R
16,127,sarcastic,"Based on Ana and James breaking up, Ken would see this comment as sarcastic since he doesn't have the full context of Ana's feelings towards James. ",1,a,7a,,,R,R,R
16,128,sincere,"Without the context of knowing about May's feelings about Kate and how they changed, Elizabeth is going to believe that May really did believe the trip was nice. ",1,b,8b,,,R,R,R
17,129,sincere,"Because they have been best friends since the first grade, despite her copying her hair style I would say that Alice is being sincere because she is supportive of her friend.",1,b,1b,,,I,S,S
17,130,sincere,Jane is aware of how hard Catherine has worked and how motivating hitting her PR is so Jane would interpret the message as sincere!,1,c,2c,,,R,R,R
17,131,sincere,Baking something for someone even if it isn't perfect is still a nice gesture and even though Jack messed it up I think he would interpret Anastasia's message as sincere as he doesn't know he messed up.,1,a,3a,,,R,R,R
17,132,sarcastic,"Even though Margaret doesn't like dogs, puppies don't look scary so Julia would probably interpret the message as sarcastic.",1,b,4b,,,R,R,R
17,133,sincere,Eric doesn't know about the intense argument and the conflict the brand has had with the magazine therefore he would interpret Phillip's note as sincere.,1,c,5c,,,R,R,R
17,134,sarcastic,David doesn't know Jeremy that well and after seeing them get into a heated argument I don't think that David would believe that Jeremy is being sincere.,1,a,6a,,,R,R,R
17,135,sarcastic,Ken probably doesn't know Ana that well and so only knowing that they had a heated argument I think Ken would interpret the message as sarcastic.,1,a,7a,,,R,R,R
17,136,sincere,"Elizabeth doesn't know anything about what transpired on the trip and so when asking how it was I think Elizabeth would interpret ""It was nice,"" as it genuinely being a nice trip. ",1,b,8b,,,R,R,R
18,137,sincere,Alice didn't want her friend to know she didn't like it. So she said something nice anyway.,2,a,1a,,,I,R,S
18,138,sarcastic,Jane knows that Catherine wouldn't literally be able to lift a cow. It would also be unlikely as she is recovering from an injury.,2,b,2b,,,I,R,R
18,139,sincere,"Jack didn't know that he used salt instead of sugar. He would have probably thought that it turned out ok, not terriable but not great.",2,b,3b,,,R,R,R
18,140,sarcastic,Julia wouldn't have known about her past pexrience. So she would have just thought Margaret was joking since the dog was only a puppy which wouldn't look scary at all.,2,c,4c,,,R,R,R
18,141,sincere,Eric probably thinks the jacket looks great and so wouldnt expect anything else.,2,a,5a,,,R,R,R
18,142,sarcastic,David doesnt know the two of them very well. So he would think it was sarcasm having just seen the fight,2,b,6b,,,R,R,R
18,143,sarcastic,"The last think that Kens knows about is the breakup , so i think he would see this as sarcasm",2,c,7c,,,R,R,R
18,144,sincere,It doesn't sound scarcastic to me. I would think she might not have enjoyed that much but its not quite scarcasm,2,c,8c,,,D,S,D
19,145,sincere,if they are friends there is no need for her to doubt what is being said and it is difficult to pick up sarcasm in a text,1,b,1b,,,D,D,D
19,146,sincere,there seems to be no reason for sarcasm to be a factor in this scenario,1,c,2c,,,O,O,O
19,147,sarcastic,Given the lack of experience it would be hard to believe the compliment as it is claiming perfection instead of just good which may have been more believable,1,a,3a,,,D,R,D
19,148,sarcastic,if most other friends say the dog is cute and there is no indication that Julia is aware of Margaret's fear it would be likely to see the response as sarcasm/joking,1,b,4b,,,R,R,R
19,149,sincere,In such a professional situation there should be no need to assume sarcasm unless Eric was aware of the conflict or Philip's view of the coat,1,c,5c,,,I,I,I
19,150,sarcastic,Due to the argument it would be easy to see the letter as sarcastic,1,a,6a,,,R,R,R
19,151,sincere,"Most people would probably not think such a compliment as sarcasm when it comes to a relationship, if Ken understand's Ana they would know they were sincere",1,a,7a,,,I,O,I
19,152,sincere,Unless Elizabeth was aware of the situation there would be no need to question the sincerity,1,b,8b,,,R,R,R
20,153,sarcastic,"Alice is being sarcastic as she sees that Olivia is copying her, and Is annoyed.",1,b,1b,,,S,S,S
20,154,sincere,she'd know that Catherine would be honest if she was struggling or if she pushed herself too hard,1,c,2c,,,R,I,R
20,155,sincere,because he thinks he made a nice gift for his friend and she sounds as if she appreciates it. he doesn't know of any reason why she wouldn't be sincere,1,a,3a,,,R,R,R
20,156,sarcastic,"as everyone else thinks Julia's dog is cute, Julia would read the message of Margaret trying to have a joke when she actually thinks the puppy is quite cute",1,b,4b,,,R,R,R
20,157,sincere,"Eric probably thinks his jacket looked great, and that the interview went well, so he wouldn't see any reason for Phillip to be rude about his jacket.",1,c,5c,,,R,I,R
20,158,sarcastic,most young kids are sarcastic about their siblings,1,a,6a,,,I,O,I
20,159,sarcastic,"if Ken knows how Ana's relationship ended then he might assume she is bitter or upset over the fight, and not actually think he is still a good guy",1,a,7a,,,R,R,R
20,160,sarcastic,"nice isn't a word you'd use to describe something you enjoyed, and if you did enjoy it you would go into more detail to talk about the things you did and what you saw etc",1,b,8b,,,D,D,D
21,161,sincere,"They've been friends for a long time, there's no reason for Olivia to think Alice wasn't being sincere.",1,b,1b,,,I,R,R
21,162,sincere,"I don't think she would interpret the message as literal, but Catherine is obviously high on her achievement and I don't think it reads as sarcastic so much as exaggeration/metaphor",1,c,2c,,,O,D,D
21,163,sincere,"It's a kind gesture, he's never baked before, I think he would think she was not being honest to protect his feelings and show her appreciation, but not being sarcastic",1,a,3a,,,I,R,R
21,164,sarcastic,"Everyone else thinks the dog is cute, it's only a puppy so not generally considered scary, Julia is a new coworker so probably doesn't know Margaret's history with dogs.",1,b,4b,,,R,R,R
21,165,sincere,"They don't know each other well, Phillip was friendly in the interview and didn't say anything then, no evidence Eric knows about Phillip and this designer",1,c,5c,,,R,R,R
21,166,sarcastic,David saw a heated fight between the brothers only shortly before.,1,a,6a,,,R,R,R
21,167,sarcastic,"Generally we don't expect that kind of response about an ex after a breakup, he doesn't know they are still on speaking terms, he knows they broke up with a dramatic fight",1,a,7a,,,R,R,R
21,168,sincere,"It doesn't sound like sarcasm, it sound like someone who doesn't want to go into detail, Elizabeth doesn't know what happened on the trip",1,b,8b,,,R,R,R
22,169,sincere,she's being polite,2,a,1a,,,S,S,S
22,170,sincere,they're just using a similily,2,b,2b,,,O,D,D
22,171,sincere,she's trying to protect his feelings,2,b,3b,,,S,S,S
22,172,sincere,she's expressing her feelings,2,c,4c,,,S,O,S
22,173,sarcastic,he knows it was bad,2,a,5a,,,O,S,S
22,174,sarcastic,"I'm not sure, just gut",2,b,6b,,,O,O,O
22,175,sincere,she genuinely feels this,2,c,7c,,,S,S,S
22,176,sincere,"because the trip itself was nice, just soured at the end",2,c,8c,,,O,S,S
23,177,sincere,"Because they're best friends that do everything together.Because Alice has so far kept her feelings to herself, so Olivia would have no reason to suspect Alice's comments as anything other than sincere.",0,c,1c,,,I,R,R
23,178,sincere,Because Catherine is just using a silly statement to express her excitement at being back in the gym.,0,a,2a,,,I,D,D
23,179,sarcastic,"Because despite the cake being awful, Jack has made a massive effort for Anastasia's birthday, and she wouldn't want to hurt his feelings.",0,c,3c,,,S,S,S
23,180,sarcastic,"Because everyone usually fawns over her dog, Julia would probably think Margaret is joking.",0,a,4a,,,I,R,R
23,181,sincere,Because Eric wouldn't expect anything other than a professional message following a formal interview.,0,b,5b,,,I,I,I
23,182,sarcastic,Because David has just witnessed something to the contrary.,0,c,6c,,,R,R,R
23,183,sincere,"Because she has no reason to be anything other than genuine about it to a friend, especially when she is on good terms now with James.",0,b,7b,,,I,S,S
23,184,sincere,"Because May had not confided in anyone about the crush, so had no reason to be anything other than genuine to her friends about the trip.",0,a,8a,,,S,S,S
24,185,sincere,I think Olivia didn't realise alice wouldn't like her having the same hairstyle and would take comment at face value,1,b,1b,,,R,R,R
24,186,sincere,"I think Catherine's answer might be defensive , doesn't seem sarcastic",1,c,2c,,,O,O,O
24,187,sincere,I think she's trying to protect his feelings and he would probably take it that way. He probably doesn't even know what he did,1,a,3a,,,S,S,S
24,188,sincere,Don't see why she would take it any other way,1,b,4b,,,O,O,O
24,189,sincere,Eric obviously thinks his outfit was fine. Phillip hasn't given him any clue as to how he feels,1,c,5c,,,R,I,R
24,190,sarcastic,He's seen them fighting,1,a,6a,,,R,R,R
24,191,sarcastic,If he hasn't had much contact with her he'll probably assume she thinks badly of james,1,a,7a,,,R,R,R
24,192,sincere,I'm assuming May hasn;t shared her true feelings with anyone,1,b,8b,,,R,R,R
25,193,sincere,Olivia doesnt know that Alice is annoyed so would take it seriously,0,c,1c,,,S,R,R
25,194,sincere,Catherine is in a good mood about her PR,0,a,2a,,,S,S,S
25,195,sarcastic,saying arent you so sweet when its salty sounds sarcastic,0,c,3c,,,O,D,D
25,196,sincere,she doesnt like that kind of dog so would be serious,0,a,4a,,,S,S,S
25,197,sincere,Eric doesnt know the conversation that Phillip had earlier so would have no reason to think it wasnt sincere,0,b,5b,,,R,R,R
25,198,sarcastic,David has seen the argument so is unlikeyly to believe that they get on well enough for Jeremy to say he is the best,0,c,6c,,,R,R,R
25,199,sarcastic,Ken has the perspective of their big breakup and doesnt know the context that Ana likes James,0,b,7b,R,,,R,R
25,200,sincere,Presuming Elizabeth doesnt know that May has feelings for Kate she would assume that nothing went wrong,0,a,8a,R,,,R,R
26,201,sarcastic,She doesnt like that their styles are similar but is telling her friend she likes it to avoid a argument,0,c,1c,S,,,S,S
26,202,sarcastic,"A person couldnt actually lift a cow, but she is feeling strong",0,a,2a,S,,,S,S
26,203,sincere,Shes trying not to hurt jacks feelings so she lied,0,c,3c,S,,,S,S
26,204,sincere,She is scared of dogs,0,a,4a,S,,,S,S
26,205,sarcastic,He hated the jacket but only said he liked it after talking behind erics back and berating him.,0,b,5b,S,,,S,S
26,206,sincere,They genuinely care for each other and hang out,0,c,6c,S,,,S,S
26,207,sincere,She considers him a good friend and talks to him regulary,0,b,7b,S,,,S,S
26,208,sincere,She enjoyed spending time with her crush but was disappointed she was already in a relationship,0,a,8a,S,,,S,S
27,209,sincere,they are very close friends and Olivia wouldn't expect sarcasm from Alice,0,c,1c,R,,,R,R
27,210,sincere,she is positive in her attitude,0,a,2a,S,,,S,S
27,211,sarcastic,Jack knows he is bad at cooking and as his best friend Anastasia would know this also,0,c,3c,R,,,R,R
27,212,sarcastic,the usual response is that the dog is cute so Julia probably thinks margaret is joking,0,a,4a,R,,,R,R
27,213,sincere,in such an environment you would expect a professional response,0,b,5b,O,,,I,I
27,214,sarcastic,as someone who doesn't know the brothers that well and have only had one interaction which was a fght,0,c,6c,R,,,R,R
27,215,sincere,she could be honest if she thought he was a bad person,0,b,7b,N,,,S,N
27,216,sincere,i expect she thought it was sincere but perhaps not her true feelings,0,a,8a,I,,,R,I
28,217,sincere,they are friends so olivia would expect her friend to tell her the truth,2,a,1a,R,,,R,R
28,218,sincere,her message depicts the reality and shows that catherine is just really excited,2,b,2b,S,,,S,S
28,219,sarcastic,"the way it's worded gives off a sarcastic vibe, she uses the word sweet to describe jake when he used salt for the cake",2,b,3b,D,,,D,D
28,220,sarcastic,Julia might interpret it as sarcastic because she herself and her friends think the dog is really cute . So she wouldnt think somebody can see her dog as scary,2,c,4c,R,,,R,R
28,221,sincere,"Even though it was a lie, I think eric would have interpret it as sincere because philip is a fashion magizine's manager",2,a,5a,R,,,I,I
28,222,sarcastic,"David doensn't know the brothers very well and after witnessing their fight, he might think that they dont get along",2,b,6b,R,,,R,R
28,223,sarcastic,He might think it is sarcastic given the way their relationship ended and the mere fact that they are exes,2,c,7c,R,,,R,R
28,224,sincere,Elizabeth doesnt know May's feelings so she wouldnt suspect that her friend didnt have a good time on her trip,2,c,8c,R,,,R,R
29,225,sincere,"They have been friends for a long time, so Olivia would expect her friend to be honest",1,b,1b,R,,,R,R
29,226,sarcastic,She is clearly over exaggerating for comedic effect,1,c,2c,D,,,D,D
29,227,sincere,He doesn't know he mixed up salt and sugar,1,a,3a,R,,,R,R
29,228,sarcastic,Most people don't find puppies scary,1,b,4b,O,,,O,O
29,229,sincere,He doesn't know about the history of the company's conflict,1,c,5c,R,,,R,R
29,230,sincere,"He does love his brother, even if they fight",1,a,6a,S,,,S,S
29,231,sincere,She has no reason to lie,1,a,7a,S,,,S,S
29,232,sincere,"The trip was still nice, despite the unreciprocated and unexpressed romantic feelings",1,b,8b,S,,,S,S
30,233,sincere,She doesn't like the haircut but she does not want to upset her friend - it is not a sarcastic tone,2,a,1a,D,,,S,S
30,234,sincere,The tone is not entirely sincere because it is an exaggerated joke but it is not sarcastic,2,b,2b,D,,,D,D
30,235,sincere,"As Jack does not know he confused salt with sugar, he probably thinks his cake was actually a success and so would see the message as sincere",2,b,3b,R,,,R,R
30,236,sarcastic,"She is being sarcastic - as she is now an adult, she can make a self deprecating joke about her childhood trauma",2,c,4c,S,,,S,S
30,237,sincere,"Since Phillip went to an interview wearing the jacket, he probably think it looks good and would think it is a sincere compliment",2,a,5a,R,,,I,I
30,238,sarcastic,"As the brothers had an argument in front of David earlier, Jeremy would probably still be angry enough to make a sarcastic remark about his brother",2,b,6b,S,,,S,S
30,239,sincere,Ana has no reason to lie about her opinion of James since they are on good terms,2,c,7c,S,,,S,S
30,240,sarcastic,"The bluntness of the message suggests sarcasm, as May is clearly disappointed about the outcome of the trip",2,c,8c,D,,,S,S
31,241,sincere,"Olivia didn't pick up on Alices frustrations, so she must have thought that the response was sincere",0,c,1c,R,,,R,R
31,242,sarcastic,"I thisnk the phrased used makes it clear it's sarcasm, nobody would actually lift a cow",0,a,2a,D,,,D,D
31,243,sincere,"It seems by the context that Jack is not aware of the mistake, so he would think the message is sincere",0,c,3c,R,,,R,R
31,244,sincere,"Margaret is directly expressing her fear, it would be interpreted as sincere",0,a,4a,S,,,S,S
31,245,sincere,"Philip didn't express any distaste to Erics style altogether, I don't beleve he would think it was sarcastic",0,b,5b,D,,,R,R
31,246,sincere,Seems that it might be sincere as Jeremy seems to really like his brother,0,c,6c,S,,,S,S
31,247,sincere,I think Ann thinks well of James,0,b,7b,S,,,S,S
31,248,sarcastic,she made it out ncer than it was for her,0,a,8a,D,,,S,O
32,249,sincere,It sounds genuine,2,a,1a,D,,,O,O
32,250,sarcastic,its a simile and not actually serious,2,b,2b,D,,,D,D
32,251,sincere,he may think that she's not noticed,2,b,3b,I,,,I,I
32,252,sincere,if Julie is aware of the accident then she may let the comment go,2,c,4c,I,,,R,O
32,253,sincere,as Phillip has been friendly throughout the day he might not think he's being rude,2,a,5a,R,,,R,R
32,254,sarcastic,he knows they are brothers,2,b,6b,R,,,R,R
32,255,sincere,as ana has moved on,2,c,7c,S,,,S,S
32,256,sincere,the trip was intense,2,c,8c,O,,,S,O
33,257,sarcastic,"I'm hoping that after these many years of relationship, both are being honest with each other. MEaning that both Alice and Olivia used sarcasm to say the same thing - that the haircut was terrible",2,a,1a,O,,,I,I
33,258,sincere,"It's an exaggetation, but it's clear in the message that Cathrin feels great",2,b,2b,S,,,D,D
33,259,sincere,"Hmmm difficult one. I know the words that Anastasia used could be sarcasm, but I am not sure how much close Jake and Anastasia are - maybe she just wanted to be cool",2,b,3b,S,,,S,S
